,0
1593,neutral
1594,neutral
1595,neutral
1596,positive
1597,positive
1598,neutral
1599,neutral
1600,neutral
1601,positive
1602,positive
1603,neutral
1604,neutral
1605,neutral
1606,neutral
1607,neutral
1608,positive
1609,neutral
1610,neutral
1611,neutral
1612,neutral
1613,neutral
1614,negative
1615,neutral
1616,neutral
1617,neutral
1618,positive
1619,neutral
1620,neutral
1621,neutral
1622,neutral
1623,neutral
1624,neutral
1625,neutral
1626,neutral
1627,neutral
1628,positive
1629,neutral
1630,neutral
1631,neutral
1632,neutral
1633,neutral
1634,neutral
1635,neutral
1636,neutral
1637,neutral
1638,neutral
1639,neutral
1640,neutral
1641,neutral
1642,neutral
1643,neutral
1644,neutral
1645,neutral
1646,neutral
1647,neutral
1648,neutral
1649,neutral
1650,positive
1651,neutral
1652,neutral
1653,neutral
1654,positive
1655,neutral
1656,neutral
1657,neutral
1658,neutral
1659,neutral
1660,neutral
1661,neutral
1662,neutral
1663,neutral
1664,neutral
1665,neutral
1666,neutral
1667,neutral
1668,neutral
1669,neutral
1670,positive
1671,neutral
1672,neutral
1673,positive
1674,neutral
1675,neutral
1676,neutral
1677,neutral
1678,neutral
1679,neutral
1680,neutral
1681,positive
1682,neutral
1683,neutral
1684,neutral
1685,positive
1686,positive
1687,positive
1688,neutral
1689,positive
1690,positive
1691,positive
1692,neutral
1693,neutral
1694,neutral
1695,positive
1696,neutral
1697,neutral
1698,neutral
1699,neutral
1700,neutral
1701,neutral
1702,positive
1703,neutral
1704,neutral
1705,negative
1706,positive
1707,positive
1708,positive
1709,positive
1710,negative
1711,negative
1712,neutral
1713,negative
1714,negative
1715,neutral
1716,positive
1717,positive
1718,positive
1719,positive
1720,positive
1721,positive
1722,positive
1723,positive
1724,positive
1725,positive
1726,positive
1727,positive
1728,positive
1729,positive
1730,positive
1731,neutral
1732,neutral
1733,neutral
1734,positive
1735,neutral
1736,neutral
1737,positive
1738,positive
1739,positive
1740,positive
1741,positive
1742,positive
1743,neutral
1744,positive
1745,positive
1746,neutral
1747,neutral
1748,neutral
1749,positive
1750,neutral
1751,positive
1752,positive
1753,neutral
1754,positive
1755,neutral
1756,positive
1757,neutral
1758,positive
1759,neutral
1760,neutral
1761,positive
1762,positive
1763,positive
1764,positive
1765,positive
1766,neutral
1767,neutral
1768,positive
1769,positive
1770,positive
1771,positive
1772,positive
1773,positive
1774,positive
1775,positive
1776,positive
1777,positive
1778,neutral
1779,positive
1780,positive
1781,positive
1782,positive
1783,positive
1784,positive
1785,positive
1786,positive
1787,positive
1788,positive
1789,neutral
1790,positive
1791,positive
1792,positive
1793,positive
1794,neutral
1795,neutral
1796,neutral
1797,positive
1798,positive
1799,positive
1800,positive
1801,neutral
1802,neutral
1803,neutral
1804,positive
1805,neutral
1806,positive
1807,positive
1808,neutral
1809,neutral
1810,neutral
1811,positive
1812,neutral
1813,positive
1814,neutral
1815,neutral
1816,neutral
1817,positive
1818,neutral
1819,neutral
1820,neutral
1821,neutral
1822,neutral
1823,positive
1824,neutral
1825,neutral
1826,neutral
1827,neutral
1828,neutral
1829,neutral
1830,neutral
1831,neutral
1832,positive
1833,neutral
1834,neutral
1835,neutral
1836,neutral
1837,neutral
1838,neutral
1839,neutral
1840,neutral
1841,positive
1842,neutral
1843,neutral
1844,neutral
1845,neutral
1846,positive
1847,neutral
1848,neutral
1849,positive
1850,positive
1851,neutral
1852,positive
1853,positive
1854,neutral
1855,neutral
1856,neutral
1857,neutral
1858,neutral
1859,neutral
1860,positive
1861,neutral
1862,neutral
1863,neutral
1864,neutral
1865,positive
1866,neutral
1867,neutral
1868,neutral
1869,positive
1870,neutral
1871,neutral
1872,neutral
1873,neutral
1874,neutral
1875,neutral
1876,positive
1877,positive
1878,positive
1879,neutral
1880,neutral
1881,neutral
1882,positive
1883,positive
1884,neutral
1885,neutral
1886,neutral
1887,neutral
1888,neutral
1889,positive
1890,neutral
1891,neutral
1892,positive
1893,neutral
1894,neutral
1895,neutral
1896,neutral
1897,neutral
1898,positive
1899,neutral
1900,positive
1901,neutral
1902,neutral
1903,neutral
1904,neutral
1905,neutral
1906,neutral
1907,neutral
1908,neutral
1909,neutral
1910,positive
1911,neutral
1912,neutral
1913,neutral
1914,positive
1915,positive
1916,positive
1917,neutral
1918,neutral
1919,neutral
1920,neutral
1921,positive
1922,neutral
1923,neutral
1924,neutral
1925,neutral
1926,neutral
1927,neutral
1928,neutral
1929,positive
1930,neutral
1931,neutral
1932,positive
1933,neutral
1934,neutral
1935,positive
1936,neutral
1937,negative
1938,negative
1939,positive
1940,positive
1941,positive
1942,neutral
1943,neutral
1944,positive
1945,negative
1946,neutral
1947,neutral
1948,neutral
1949,neutral
1950,positive
1951,positive
1952,positive
1953,positive
1954,neutral
1955,neutral
1956,neutral
1957,positive
1958,neutral
1959,neutral
1960,neutral
1961,positive
1962,negative
1963,neutral
1964,neutral
1965,positive
1966,neutral
1967,neutral
1968,neutral
1969,negative
1970,neutral
1971,neutral
1972,neutral
1973,positive
1974,neutral
1975,negative
1976,neutral
1977,negative
1978,neutral
1979,negative
1980,neutral
1981,neutral
1982,neutral
1983,positive
1984,neutral
1985,neutral
1986,negative
1987,neutral
1988,neutral
1989,negative
1990,negative
1991,negative
1992,negative
1993,negative
1994,negative
1995,neutral
1996,positive
1997,negative
1998,positive
1999,positive
2000,neutral
2001,positive
2002,positive
2003,positive
2004,neutral
2005,neutral
2006,neutral
2007,neutral
2008,neutral
2009,neutral
2010,neutral
2011,neutral
2012,positive
2013,positive
2014,neutral
2015,positive
2016,neutral
2017,neutral
2018,positive
2019,positive
2020,positive
2021,neutral
2022,neutral
2023,neutral
2024,neutral
2025,neutral
2026,positive
2027,negative
2028,neutral
2029,positive
2030,positive
2031,neutral
2032,neutral
2033,neutral
2034,neutral
2035,neutral
2036,positive
2037,neutral
2038,neutral
2039,positive
2040,neutral
2041,neutral
2042,neutral
2043,neutral
2044,neutral
2045,neutral
2046,neutral
2047,neutral
2048,neutral
2049,positive
2050,neutral
2051,positive
2052,positive
2053,positive
2054,neutral
2055,positive
2056,neutral
2057,neutral
2058,neutral
2059,positive
2060,neutral
2061,positive
2062,positive
2063,neutral
2064,neutral
2065,neutral
2066,neutral
2067,positive
2068,neutral
2069,positive
2070,neutral
2071,neutral
2072,neutral
2073,positive
2074,neutral
2075,positive
2076,positive
2077,neutral
2078,positive
2079,neutral
2080,neutral
2081,neutral
2082,positive
2083,positive
2084,neutral
2085,neutral
2086,neutral
2087,positive
2088,positive
2089,positive
2090,neutral
2091,neutral
2092,positive
2093,neutral
2094,negative
2095,neutral
2096,neutral
2097,neutral
2098,neutral
2099,negative
2100,positive
2101,positive
2102,neutral
2103,neutral
2104,positive
2105,neutral
2106,negative
2107,positive
2108,neutral
2109,negative
2110,neutral
2111,neutral
2112,neutral
2113,neutral
2114,neutral
2115,neutral
2116,neutral
2117,neutral
2118,positive
2119,neutral
2120,neutral
2121,neutral
2122,neutral
2123,negative
2124,neutral
2125,neutral
2126,positive
2127,negative
2128,neutral
2129,negative
2130,positive
2131,positive
2132,positive
2133,positive
2134,neutral
2135,negative
2136,neutral
2137,positive
2138,neutral
2139,neutral
2140,neutral
2141,neutral
2142,positive
2143,neutral
2144,positive
2145,positive
2146,neutral
2147,positive
2148,neutral
2149,neutral
2150,positive
2151,positive
2152,positive
2153,positive
2154,neutral
2155,neutral
2156,neutral
2157,neutral
2158,neutral
2159,neutral
2160,neutral
2161,neutral
2162,neutral
2163,neutral
2164,neutral
2165,neutral
2166,neutral
2167,neutral
2168,neutral
2169,neutral
2170,negative
2171,neutral
2172,neutral
2173,negative
2174,positive
2175,negative
2176,positive
2177,neutral
2178,neutral
2179,neutral
2180,neutral
2181,positive
2182,positive
2183,positive
2184,positive
2185,neutral
2186,neutral
2187,neutral
2188,neutral
2189,positive
2190,positive
2191,neutral
2192,neutral
2193,neutral
2194,positive
2195,neutral
2196,positive
2197,neutral
2198,neutral
2199,positive
2200,neutral
2201,neutral
2202,positive
2203,neutral
2204,neutral
2205,neutral
2206,neutral
2207,neutral
2208,neutral
2209,neutral
2210,neutral
2211,neutral
2212,negative
2213,neutral
2214,neutral
2215,neutral
2216,neutral
2217,positive
2218,neutral
2219,neutral
2220,neutral
2221,neutral
2222,neutral
2223,neutral
2224,neutral
2225,positive
2226,neutral
2227,neutral
2228,neutral
2229,neutral
2230,neutral
2231,neutral
2232,neutral
2233,neutral
2234,positive
2235,neutral
2236,neutral
2237,neutral
2238,neutral
2239,positive
2240,neutral
2241,neutral
2242,neutral
2243,positive
2244,neutral
2245,positive
2246,positive
2247,neutral
2248,positive
2249,neutral
2250,neutral
2251,neutral
2252,neutral
2253,positive
2254,neutral
2255,neutral
2256,positive
2257,neutral
2258,neutral
2259,negative
2260,positive
2261,positive
2262,positive
2263,positive
2264,neutral
2265,positive
2266,positive
2267,positive
2268,positive
2269,neutral
2270,neutral
2271,neutral
2272,neutral
2273,negative
2274,positive
2275,positive
2276,negative
2277,positive
2278,neutral
2279,negative
2280,positive
2281,neutral
2282,positive
2283,neutral
